,label,별점,참여,N_clicks,finish,pieces,episode,omnibus,story,daily,comic,fantasy,action,drama,pure,sensibility,thrill,historical,sports,영화,드라마,도서
107,동토의 여명,9.938358209,7999.477612,0.991909385,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
108,두근거려요,9.958727273,22159.12727,0.995145631,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
109,두근두근두근거려,9.941666667,19123.83333,0.993527508,1,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
110,둥굴레차!,9.950540541,16139.13514,0.993527508,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
111,드래곤레시피,9.404375,19399,0.893203883,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
112,딥(DEEP),9.971666667,25180.33333,0.993527508,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
113,뜨거운 것이 좋아.,9.675820896,3149.149254,0.946601942,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
114,라이징패스트볼,9.59853211,11263.83486,0.922330097,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
115,라크리모사,9.79,17787.1,0.951456311,1,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
116,러브슬립,9.802109375,3748.171875,0.96763754,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
117,러브슬립 2부,9.836217949,1975.660256,0.974110032,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
118,러브판타지페이퍼,9.942857143,4342,0.991909385,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
119,레드돌,9.885238095,8165.238095,0.980582524,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
120,레드초콜릿,9.842375,2247.525,0.974110032,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
121,레사 시즌2,9.961441441,21888.58559,0.995145631,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
122,레사(lessa),9.945,32963.875,0.993527508,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
123,레인보우 로즈,9.939642857,10687.21429,0.990291262,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124,레코닝,9.976153846,21095.76923,0.998381877,1,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
125,로봇빠찌,8.686875,497.5625,0.784789644,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
126,리얼주주,9.877696477,4778.672087,0.980582524,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
127,리즌,9.878,17394.7,0.96763754,1,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
128,리턴,9.854444444,1814,0.977346278,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
129,마녀사냥,9.854,64932.8,0.993527508,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
130,마루한 - 구현동화전,9.895496183,11050.74046,0.982200647,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
131,마술사,9.942843691,14923.58004,0.990291262,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
132,마야고,9.954444444,20143.77778,0.993527508,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
133,마주쳤다,9.8025,51361.125,0.974110032,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
134,만렙소녀 오오라,9.553628319,4807.19469,0.915857605,1,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
135,만화사랑 캠페인,7.604,1023.3,0.398058252,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,맛집남녀,7.736938776,6462.918367,0.590614887,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
137,매지컬 고삼즈,9.940714286,46400.57143,0.995145631,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
138,멍순이,9.825454545,2754.454545,0.974110032,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
139,멜로홀릭,9.941818182,8094.090909,0.990291262,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
140,모던패밀리,9.938787879,6349.590909,0.991909385,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
141,모던패밀리 2,9.908389831,4323.067797,0.949838188,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,모두에게 완자가,9.730664207,25881.40959,0.954692557,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
143,모디파이,9.024772727,11777.18182,0.776699029,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
144,모태솔로수용소,9.935522388,25954.34328,0.988673139,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
145,목욕의 신 (재),9.966666667,52630.33333,0.998381877,1,5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
146,무한도전 릴레이툰,9.511428571,173604.5714,0.893203883,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
147,무한동력,9.928,28108.33333,0.990291262,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
148,묵회,9.924375,2043.455357,0.985436893,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
149,문아,9.955927835,10772.91237,0.993527508,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
150,문유,9.955714286,43832.42857,0.995145631,1,8,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
151,므시미르,9.72,711.1818182,0.954692557,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
152,미결,9.7875,22760.75,0.980582524,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
153,미라클! 용사님,9.97,22957.83333,0.995145631,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
154,미래소녀,9.948,30984.2,0.995145631,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
155,미선 임파서블,9.9,33276.4,0.988673139,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
156,미숙한 친구는 G구인,9.913333333,20182.33333,0.991909385,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
157,미쳐 날뛰는 생활툰,9.780555556,15616.97222,0.96763754,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
158,미호이야기,9.954814815,11405.22222,0.995145631,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
159,바나나걸,9.770909091,616.9090909,0.957928803,1,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
160,바람의 색,9.926333333,12276.33333,0.988673139,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
161,바람이 머무는 난,9.945263158,16649.68421,0.993527508,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
162,바로잡는 순애보,9.921555556,12930.02222,0.991909385,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
163,바이올린처럼.,9.914666667,2101.066667,0.987055016,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
164,반월,9.650416667,688.1666667,0.935275081,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
165,반지의제왕,5.361,1730.3,0.234627832,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
166,밥풀때기,9.829294118,5651.847059,0.969255663,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
167,방울토마토,9.956346154,13720.29808,0.993527508,1,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
168,뱀파이어,9.945294118,17226,0.993527508,1,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
169,뱀피르,9.907307692,8310.307692,0.985436893,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
170,버닝헬,9.935,23768.5,0.993527508,1,4,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0
171,버퍼링,9.957142857,14050.85714,0.991909385,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
172,버프소녀 오오라,9.920909091,14662.81818,0.987055016,1,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
173,번개기동대 2009,9.674117647,422.5882353,0.946601942,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
174,번데기스,7.972727273,428.3636364,0.673139159,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
175,별의 유언,9.948,16359.4,0.995145631,1,5,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
176,봄이여 오라,9.933529412,5607.156863,0.990291262,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
177,부부생활,9.947246377,10576.72464,0.991909385,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
178,부토,9.922790698,7024.697674,0.988673139,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
179,불량 뱀파이어,9.329,2113.5,0.865695793,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
180,불만시대,9.857058824,14798.4902,0.966019417,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
181,붉은 실,9.947777778,39982.77778,0.991909385,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
182,블라인드,9.222380952,573.952381,0.857605178,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
183,블랙수트,9.537777778,32524.11111,0.948220065,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
184,블랙시저스,9.9440625,8438.203125,0.993527508,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
185,블레이드 노트,9.964,19188.96,0.995145631,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
186,비바 산티아고,9.792727273,2821.545455,0.975728155,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
187,비흔,9.93964467,7720.71066,0.991909385,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
188,빙의,9.95,28906,0.996763754,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
